TimeStamp,Type,Price,Quantity,Profit/Loss,TotalCost,BaselineVolume,EndVolume,BaselineVolumeMean,EndVolumeMean
2024-01-08 15:26:00,short,400.2,24,0.0,9604.8,158721,75436,1322.68,7543.6
2024-01-08 15:29:00,close,400.9,24,-16.8,9621.6,0,0,0.0,0.0
2024-01-18 15:26:00,long,423.8,23,0.0,9747.4,188583,69149,1571.52,6914.9
2024-01-20 15:26:00,short,415.35,21,0.0,8722.35,105780,43241,881.5,4324.1
2024-01-20 15:02:00,close,416.28,23,-173.06,9574.34,0,0,0.0,0.0
2024-01-20 15:29:00,close,417.15,21,-37.8,8760.15,0,0,0.0,0.0
2024-01-25 15:26:00,short,414.45,24,0.0,9946.8,279115,150734,2325.96,15073.4
2024-01-25 15:29:00,close,413.0,24,34.8,9912.0,0,0,0.0,0.0
2024-02-23 15:26:00,long,466.75,21,0.0,9801.75,430115,185510,3584.29,18551.0
2024-02-27 13:12:00,close,466.04,21,-14.98,9786.77,0,0,0.0,0.0
2024-02-28 15:26:00,long,460.0,21,0.0,9660.0,209363,73052,1744.69,7305.2
2024-02-29 15:26:00,long,467.15,19,0.0,8875.85,419782,216048,3498.18,21604.8
2024-03-06 09:36:00,close,460.6,21,12.69,9672.69,0,0,0.0,0.0
2024-03-06 09:36:00,close,460.6,19,-124.36,8751.49,0,0,0.0,0.0
2024-03-11 15:26:00,long,441.0,22,0.0,9702.0,184543,78176,1537.86,7817.6
2024-03-12 10:45:00,close,433.98,22,-154.48,9547.52,0,0,0.0,0.0
2024-03-15 15:26:00,long,418.1,23,0.0,9616.3,190421,78052,1586.84,7805.2
2024-03-20 09:31:00,close,409.34,23,-201.48,9414.82,0,0,0.0,0.0
2024-04-04 15:26:00,long,445.2,22,0.0,9794.4,89018,39648,741.82,3964.8
2024-04-08 13:28:00,close,439.8,22,-118.84,9675.56,0,0,0.0,0.0
2024-04-23 15:26:00,long,414.8,23,0.0,9540.4,58597,23254,488.31,2325.4
2024-04-29 15:26:00,long,420.8,21,0.0,8836.8,79347,32080,661.22,3208.0
2024-05-07 10:39:00,close,415.69,23,20.55,9560.95,0,0,0.0,0.0
2024-05-07 10:39:00,close,415.69,21,-107.24,8729.56,0,0,0.0,0.0
2024-05-10 15:26:00,long,399.5,24,0.0,9588.0,153996,130626,1283.3,13062.6
2024-05-14 15:26:00,short,399.9,22,0.0,8797.8,142705,48811,1189.21,4881.1
2024-05-14 15:29:00,close,398.5,22,30.8,8767.0,0,0,0.0,0.0
2024-05-15 11:22:00,close,395.08,24,-106.06,9481.94,0,0,0.0,0.0
2024-05-17 15:26:00,long,402.9,24,0.0,9669.6,165712,58126,1380.93,5812.6
2024-05-21 15:26:00,long,410.15,21,0.0,8613.15,93775,145666,781.46,14566.6
2024-05-28 15:26:00,long,434.05,18,0.0,7812.9,154616,67060,1288.47,6706.0
2024-05-28 12:36:00,close,432.14,24,701.64,10371.24,0,0,0.0,0.0
2024-05-28 12:36:00,close,432.14,21,461.68,9074.83,0,0,0.0,0.0
2024-05-30 14:07:00,close,421.56,18,-224.78,7588.12,0,0,0.0,0.0
2024-06-11 15:26:00,long,473.75,21,0.0,9948.75,199298,86370,1660.82,8637.0
2024-06-12 15:26:00,short,472.0,19,0.0,8968.0,92499,31047,770.82,3104.7
2024-06-12 15:29:00,close,471.9,19,1.9,8966.1,0,0,0.0,0.0
2024-06-13 14:47:00,close,463.03,21,-225.13,9723.62,0,0,0.0,0.0
2024-06-14 15:26:00,long,461.6,21,0.0,9693.6,110841,48069,923.68,4806.9
2024-06-24 09:32:00,close,483.79,21,465.94,10159.54,0,0,0.0,0.0
2024-06-28 15:26:00,long,493.45,20,0.0,9869.0,227890,88214,1899.08,8821.4
2024-07-02 12:44:00,close,486.46,20,-139.9,9729.1,0,0,0.0,0.0
2024-07-08 15:26:00,long,519.05,19,0.0,9861.95,210448,86660,1753.73,8666.0
2024-07-10 10:23:00,close,510.12,19,-169.61,9692.34,0,0,0.0,0.0
2024-07-12 15:26:00,short,514.75,19,0.0,9780.25,254097,97538,2117.48,9753.8
2024-07-12 15:29:00,close,513.15,19,30.4,9749.85,0,0,0.0,0.0
2024-07-18 15:26:00,long,519.0,19,0.0,9861.0,650894,287524,5424.12,28752.4
2024-07-19 15:13:00,close,503.43,19,-295.83,9565.17,0,0,0.0,0.0
2024-07-26 15:26:00,long,564.8,17,0.0,9601.6,315812,110614,2631.77,11061.4
2024-08-05 09:15:00,close,630.4,17,1115.25,10716.85,0,0,0.0,0.0
2024-08-12 15:26:00,long,689.85,14,0.0,9657.9,917933,336406,7649.44,33640.6
2024-08-14 09:18:00,close,669.3,14,-287.7,9370.2,0,0,0.0,0.0
2024-08-26 15:26:00,short,682.9,14,0.0,9560.6,281961,96323,2349.68,9632.3
2024-08-26 15:29:00,close,682.9,14,0.0,9560.6,0,0,0.0,0.0
2024-08-30 15:26:00,short,719.25,13,0.0,9350.25,879079,560194,7325.66,56019.4
2024-08-30 15:29:00,close,717.45,13,23.4,9326.85,0,0,0.0,0.0
2024-09-10 15:26:00,short,691.0,14,0.0,9674.0,499683,247094,4164.02,24709.4
2024-09-10 15:29:00,close,689.35,14,23.1,9650.9,0,0,0.0,0.0
2024-09-27 15:26:00,long,559.0,17,0.0,9503.0,1224508,478906,10204.23,47890.6
2024-10-03 09:15:00,close,564.69,17,96.65,9599.65,0,0,0.0,0.0
2024-10-07 15:26:00,long,549.7,18,0.0,9894.6,439542,172836,3662.85,17283.6
2024-10-10 10:24:00,close,567.6,18,322.12,10216.72,0,0,0.0,0.0
2024-10-14 15:26:00,short,608.85,16,0.0,9741.6,620611,223055,5171.76,22305.5
2024-10-14 15:29:00,close,608.0,16,13.6,9728.0,0,0,0.0,0.0
2024-10-16 15:26:00,long,609.75,16,0.0,9756.0,434395,162346,3619.96,16234.6
2024-10-17 14:04:00,close,593.4,16,-261.64,9494.36,0,0,0.0,0.0
2024-10-21 15:26:00,long,592.0,17,0.0,10064.0,342750,142672,2856.25,14267.2
2024-10-22 10:30:00,close,581.37,17,-180.72,9883.28,0,0,0.0,0.0
2024-10-24 15:26:00,long,556.65,18,0.0,10019.7,335880,164301,2799.0,16430.1
2024-10-25 10:12:00,close,543.88,18,-229.88,9789.82,0,0,0.0,0.0
2024-10-31 15:26:00,short,568.25,17,0.0,9660.25,726935,249261,6057.79,24926.1
2024-10-31 15:29:00,close,572.0,17,-63.75,9724.0,0,0,0.0,0.0
2024-11-12 15:26:00,long,561.35,17,0.0,9542.95,486224,203123,4051.87,20312.3
2024-11-13 09:48:00,close,545.04,17,-277.22,9265.73,0,0,0.0,0.0
2024-11-21 15:26:00,long,545.2,18,0.0,9813.6,213381,128064,1778.18,12806.4
2024-11-27 09:20:00,close,581.71,18,657.16,10470.76,0,0,0.0,0.0
2024-11-29 15:26:00,long,587.6,17,0.0,9989.2,374916,415046,3124.3,41504.6
2024-12-03 14:29:00,close,609.16,17,366.52,10355.72,0,0,0.0,0.0
2024-12-06 15:26:00,short,576.3,17,0.0,9797.1,660408,331324,5503.4,33132.4
2024-12-06 15:29:00,close,574.05,17,38.25,9758.85,0,0,0.0,0.0
2024-12-12 15:26:00,short,589.45,17,0.0,10020.65,493698,168153,4114.15,16815.3
2024-12-12 15:29:00,close,591.05,17,-27.2,10047.85,0,0,0.0,0.0
2024-12-16 15:26:00,short,583.45,17,0.0,9918.65,135655,64734,1130.46,6473.4
2024-12-16 15:29:00,close,583.0,17,7.65,9911.0,0,0,0.0,0.0
